"pressure","wellbeing","cooperation","competition","formalization","flexibility","performance","innoprocess","innoproduct","size","duration","Culture.national","Culture.craft","distance","function."
3.5,3.75,3.5,2.6,3.33,4.33,3.8,2,1.5,"3","1",1,4,3,"2"
5,2.75,2.75,2.8,3.67,3.67,3,2.5,3,"3","1",1,5,2,"2"
3.5,3,2.25,2,3.33,3.74,1.2,3.45,2.5,"3","1",5,4,1,"2"
4.5,3.25,3.75,3.4,3.67,4.33,3.2,1.95,2.5,"3","1",5,5,4,"2"
3.5,2.5,3.5,2.2,3.33,3.33,2,3,2,"3","0",1,3,2.33,"2"
3.5,3.75,4.25,1.4,5,4.33,4.4,3,2,"3","0",5,5,5,"2"
2,2.75,2.5,1.6,3,3.67,3.85,2.5,2.89,"3","1",1,5,3.33,"2"
4.5,2.5,3,2.83,4.33,3.67,2.4,3,3,"3","1",4,2,3.67,"2"
4,2,2,2.4,4,1.67,2.6,3,4,"3","1",1,4,2,"2"
3.5,1.25,3,4,4,1,2.2,2,3,"3","1",1,4,1.67,"3"
3,3.75,3.5,2,3.67,4,3.4,2,2.56,"3","1",3,3,3,"3"
4,3.25,3.5,2.8,4,4.33,3.4,3,2.5,"3","1",1,4,3,"3"
4.5,2.75,3.75,1,3.33,3.63,4.05,1,4,"3","1",1,5,2.33,"3"
3,4.25,3.75,1.6,3.67,4.33,3.2,3.5,2,"3","2",2,3,4,"3"
4,1.75,4.5,1.8,3,4.33,4.2,2,2.89,"3","2",1,5,1,"3"
4,3.25,2.5,4,3,3.33,3,3.5,3,"3","0",1,4,1.67,"3"
3,3.5,2.75,2.6,3.33,2.67,3.4,2.5,2,"3","1",2,4,2,"3"
3.5,3,4,1.8,5,4,4,3.5,4,"3","0",3,4,3.67,"3"
3.5,2.25,4,3,4.33,4.33,3.4,2.5,1.5,"3","1",5,1,5,"3"
4,2.75,3.5,2.8,3,3.33,3.4,3.5,3,"3","1",2,5,1.67,"3"
4.5,1.25,4,2.4,5,3.67,1.6,4,2,"3","1",1,5,3,"3"
4.5,2.75,1.75,2.2,3.67,4,3.8,3.5,5,"3","2",5,5,1,"3"
4.5,2.25,3.5,1.8,4,5,2.6,3,3,"3","2",1,4,1,"3"
3,2.5,5,1.6,3.67,5,1.6,3.5,3,"3","2",1,4,3,"3"
3.5,2.5,2.75,2.8,4,3,2.6,2,3,"4","0",2.68,5,2.33,"1"
4,2.5,2.75,1.2,4,4,3.2,3,3,"4","1",1,5,1.67,"1"
5,3.75,1.75,4.6,2.33,4.67,4.4,5,5,"4","2",5,5,4,"1"
3.5,3.5,3.5,2.6,4.33,4.33,3.4,2.5,2.89,"4","2",5,5,3,"1"
3,3.5,3,2,4,3,4,4,3,"4","0",4,4,4,"2"
4.5,2.75,4,2.6,4,4,3.6,2.95,2.89,"4","0",5,2,3,"2"
4,2.5,3,3.2,3.33,3,2.8,3,3,"4","0",1,5,3,"3"
4,3,4,2,4,2,3.6,4,4,"4","2",5,5,5,"3"
5,2.25,4.5,3.6,3.67,4.67,4,1.5,1,"4","0",4,5,3.33,"3"
4.5,3,3.5,1.2,5,4.33,3.8,3,3,"4","2",5,5,3.67,"3"
5,4,4.75,1.4,3.67,4.67,3.6,3.5,2.89,"5","1",1,3,2.33,"1"
4,2.75,3.75,3.2,3.33,3.84,3.8,3,3.33,"5","2",2.68,4,2.64,"1"
5,2.25,4.75,2.2,5,2,4.6,2.89,1.5,"5","1",4,5,5,"1"
1.5,3.75,3.75,1,4.67,4,3.2,3.5,2.83,"5","1",2,5,2.33,"1"
5,3,4,2.4,5,4.67,4.6,3,4.5,"5","0",4,3,3.67,"1"
4,2.5,4.25,2.2,4.67,5,4.4,4,3.5,"5","0",1,5,1.33,"1"
